pH,DissOxy,IndPct,WellClass,Aquifier,Depth,Distance,MTBE
7.12,4.59,0,Private,Bedrock,174.9552,1849.1,0.2
6.65,3.88,0,Private,Bedrock,*,1214.51,0.2
6.26,6.99,1.37,Private,Bedrock,103.632,1579.3,0.2
6.42,6.98,0,Private,Bedrock,53.34,4467.88,0.2
6.06,1,0,Private,Bedrock,92.6592,1728,0.2
6.43,2.18,0,Private,Bedrock,91.44,2757.15,0.2
7.45,4.85,0,Private,Bedrock,245.364,951.09,0.2
8.16,0.4,0,Private,Bedrock,*,1351.95,0.2
7.31,1.56,0,Private,Bedrock,*,1266.05,0.2
7.59,1.02,0,Private,Bedrock,91.44,2624.08,0.2
7.51,0.49,0,Private,Bedrock,*,1441.05,1.16
7.13,0.4,2.15,Private,Bedrock,91.44,2407.7,1.6
8.09,0.43,2.91,Private,Bedrock,121.92,747.75,0.2
8.33,0.44,1.1,Private,Bedrock,121.92,1179.23,0.2
7.4,1.36,4.9,Private,Bedrock,73.152,754.58,0.2
5.66,4.98,0,Private,Bedrock,51.816,2694.44,0.2
8.36,0.27,0,Private,Bedrock,36.576,3322.18,0.33
7.64,4.44,1,Private,Bedrock,152.4,2224.19,0.2
8.39,0.56,0,Private,Bedrock,128.3208,2682.48,0.2
5.91,6.72,0,Private,Bedrock,38.1,2944.24,3.86
8.26,2.7,0,Private,Bedrock,243.84,1522.78,0.31
6.18,4.17,0,Private,Bedrock,159.4104,5180.58,0.2
6.72,0.78,0,Private,Bedrock,85.344,3458.03,0.2
8.22,1.32,0,Private,Bedrock,128.9304,2762.89,0.2
7.97,0.44,0,Private,Bedrock,*,365.9,0.2
6.59,6.29,0.59,Private,Bedrock,18.8976,784.06,0.2
8.24,3.27,0,Private,Bedrock,91.44,1711.46,0.39
7.15,0.11,0,Private,Bedrock,*,3181.14,0.48
7.43,1.68,0,Private,Bedrock,79.248,3094.32,0.2
7.87,0.24,3.56,Private,Bedrock,45.72,687.07,0.2
8.11,0.23,0,Private,Bedrock,45.72,1082.94,0.2
8.22,0.44,0,Private,Bedrock,88.392,1832.5,0.2
7.61,0.61,0,Private,Bedrock,121.92,2685.91,0.2
6.68,4.39,0,Private,Bedrock,30.48,2772.19,0.2
7.52,0.46,0,Private,Bedrock,47.244,831.1,0.2
7.43,0.56,0,Public,Unconsoli,15.24,1142.56,0.25
7.76,6.63,22.41,Public,Unconsoli,15.24,274.61,0.2
7.01,5.94,0.84,Public,Unconsoli,19.2024,775.4,0.2
6.55,7.07,1.34,Public,Unconsoli,15.24,685.17,0.2
7.91,10.6,6.54,Public,Unconsoli,14.6304,3192.79,0.2
7.51,7.94,0,Public,Unconsoli,24.9936,2440.35,1.06
7.7,1.43,0,Public,Unconsoli,18.288,2573.78,0.2
6.1,0.74,3.52,Public,Unconsoli,*,804.76,0.2
6.57,1.26,0,Public,Unconsoli,15.24,3009.59,0.2
7.64,0.35,0,Public,Bedrock,48.768,1059.41,0.35
7.58,1.74,18.35,Public,Bedrock,99.06,130.48,3.1
7.87,5.22,0,Public,Bedrock,42.672,3627.21,0.2
8.09,0.37,11.8,Public,Bedrock,106.68,1090.68,0.2
7.9,0.4,1.91,Public,Bedrock,68.58,1478.05,0.2
6.4,2.14,0,Public,Bedrock,42.672,1945.64,0.39
8.05,0.42,0,Public,Bedrock,80.772,1049.97,0.2
7.66,0.79,3.2,Public,Bedrock,91.44,1346.78,0.2
8.08,0.71,4.21,Public,Bedrock,155.448,1379.81,0.2
7.28,3.33,1.67,Public,Bedrock,60.96,891.93,0.36
6.31,3.07,0,Public,Unconsoli,13.4112,1941.97,0.2
7.22,0.39,3.11,Public,Bedrock,286.8168,996.74,1.01
7.98,0.34,0,Public,Bedrock,68.58,953.12,0.2
8.39,0.48,2.2,Public,Bedrock,81.6864,610.9,0.33
7.84,5.07,0,Public,Bedrock,100.584,1007.11,1.48
6.28,2.98,0,Public,Bedrock,77.724,1978.78,0.35
6.94,0.36,3.09,Public,Bedrock,121.92,335.22,0.2
7.47,0.39,3.07,Public,Bedrock,225.552,1006.58,0.83
6.49,4.77,14.14,Public,Bedrock,53.34,264.93,0.23
6.05,6.93,0.68,Public,Unconsoli,10.668,1664.94,0.2
6.41,2.52,0.85,Public,Bedrock,54.864,1516.36,0.2
8.73,7.81,17.11,Public,Bedrock,182.88,111.42,0.49
7.22,0.6,0,Public,Bedrock,45.72,367.52,0.2
7.08,6.89,0,Public,Bedrock,79.248,1245.9,0.2
7.14,1.23,0,Public,Bedrock,79.248,1244.09,0.2
7.45,1.53,0,Public,Bedrock,42.672,2487.94,0.2
7.47,1.53,0,Public,Bedrock,42.672,2487.54,0.2
7.86,0.47,8.92,Public,Bedrock,45.72,738.61,4.02
8.04,0.28,0,Public,Bedrock,109.728,1729.81,0.2
7.64,6.82,0,Public,Bedrock,45.72,3632.06,0.2
6.12,3.22,0,Public,Bedrock,182.88,2193.56,2.97
8.56,0.41,23.77,Public,Bedrock,57.912,406.54,0.2
7.61,7.84,0.16,Public,Bedrock,54.864,786.84,0.2
7.44,0.39,0,Public,Bedrock,200.5584,405.78,1.29
7.57,1.14,0,Public,Bedrock,91.44,1075.11,2.06
5.28,4.72,7.44,Public,Bedrock,42.672,56.25,2.92
5.34,4.45,7.44,Public,Bedrock,73.152,51.53,2.23
6.5,4.18,0,Public,Bedrock,121.92,549.75,1.5
7.66,2.74,0,Public,Bedrock,97.536,2861.51,0.2
8.1,0.72,0.21,Public,Bedrock,97.536,574.59,0.26
7,0.42,3.09,Public,Bedrock,153.924,330.46,0.2
7.97,0.48,8.87,Public,Bedrock,182.88,391.18,6.43
7.96,0.36,8.81,Public,Bedrock,182.88,386.26,3.57
7.82,0.51,13.02,Public,Bedrock,152.4,470.44,0.2
8.06,0.4,0,Public,Bedrock,42.672,2493.96,0.2
6.33,3.32,4.86,Public,Bedrock,48.768,597.65,0.2
8.38,0.55,0,Public,Bedrock,48.768,2270.32,0.2
5.77,8.31,0,Public,Unconsoli,5.7912,2181.65,0.2
6.15,8.14,10.8,Public,Unconsoli,7.9248,929.21,0.2
6.53,0.39,0,Public,Bedrock,48.768,1084.34,0.2
8.22,4.5,0,Public,Bedrock,152.4,2832.47,0.2
7.75,7.52,0,Public,Bedrock,89.916,4147.82,4.16
5.59,3.61,4.84,Public,Bedrock,76.2,265.08,0.26
8.02,0.35,0,Public,Bedrock,214.884,1098.26,0.2
8.04,0.46,0,Public,Bedrock,140.208,553.67,0.2
7.41,1.76,13.75,Public,Bedrock,146.304,911.75,0.2
6.65,0.53,0,Public,Bedrock,134.112,2197.44,2.21
7.87,1.57,0,Public,Bedrock,129.54,1150.91,0.2
6.53,6.33,0,Public,Bedrock,99.06,3632.12,0.27
7.32,3.51,0,Public,Bedrock,152.4,2315.74,3.33
6.3,0.41,0,Public,Bedrock,60.96,162.03,0.39
7.81,8.26,0,Public,Bedrock,79.248,1842.73,0.2
7.7,1.84,0,Public,Bedrock,91.44,3084.46,0.72
7.49,0.45,0,Public,Bedrock,77.1144,1114.43,0.2
7.59,2.25,17.46,Public,Bedrock,112.776,782.47,2.7
6.95,0.41,0,Public,Bedrock,61.5696,626.39,0.2
6.58,3.19,11.47,Public,Bedrock,76.2,1193.43,0.2
6.91,0.44,8.11,Public,Bedrock,152.4,888.77,0.3
8.17,1.1,0,Public,Bedrock,152.4,2909.45,2.14
8.96,0.1,12.44,Public,Bedrock,134.112,2957.61,0.2
7.78,4.79,8.42,Public,Bedrock,182.88,333.35,2.61
7.24,4.3,1.96,Public,Bedrock,90.5256,604.23,0.2
7.7,0.5,12.91,Public,Bedrock,188.976,599.11,0.2
7.27,7.54,0,Public,Bedrock,160.02,1451.97,46.2
8.81,0.36,0,Public,Bedrock,70.104,1272.95,0.2
8.05,0.35,36.42,Public,Bedrock,76.2,254.57,48.1
7.66,0.43,7.22,Public,Bedrock,80.1624,916.83,0.96
7.3,0.59,9.2,Public,Bedrock,121.92,141.77,0.2
8.12,0.53,0,Public,Bedrock,91.44,716.44,0.2
7.4,7.33,0,Public,Bedrock,132.588,4156.63,4.34
8.21,0.43,0,Public,Bedrock,60.3504,723.89,0.2
8.12,0.49,11.35,Public,Bedrock,152.4,270.91,0.2
7.53,0.32,18.79,Public,Bedrock,121.92,65.93,15.61
7.45,0.17,21.36,Public,Bedrock,152.4,142.26,32.8
8.31,0.59,0,Public,Bedrock,91.44,1703.94,0.2
6.4,2.73,10.96,Public,Bedrock,38.1,539.56,0.2
7.34,0.53,15.26,Public,Bedrock,310.896,1292.41,10.6
7.28,3.25,0,Public,Bedrock,68.58,3066.18,0.2
7.86,0.37,0,Public,Bedrock,44.8056,1812.88,0.2
7.37,0.63,0,Public,Bedrock,47.8536,4651.51,0.2
7.39,1,0,Public,Bedrock,46.0248,5239.42,0.2
8.15,1.3,0,Public,Bedrock,*,1694.76,0.2
7.35,5.7,0,Public,Unconsoli,15.24,2935.85,0.72
8.07,0.5,0,Public,Bedrock,43.8912,1963.71,0.2
7.62,2.57,0,Public,Bedrock,45.72,1307.4,0.37
6.02,6.07,9.97,Public,Unconsoli,13.716,1079.9,0.2
7.6,2.09,0,Public,Bedrock,*,531.89,0.2
8.32,0.35,0,Public,Bedrock,61.8744,3909.57,0.2
6.04,4.4,1.28,Public,Bedrock,86.868,58.88,0.84
9.03,0.41,3.66,Public,Bedrock,*,3066.65,0.2
5.43,2.53,0,Public,Unconsoli,*,1039.99,0.34
7.3,1.88,0,Public,Unconsoli,*,953.94,0.24
5.85,5.29,0,Public,Unconsoli,9.144,1746.12,0.33
6.6,7.99,0.84,Public,Unconsoli,15.24,596.88,0.2
6.56,5.12,0.84,Public,Unconsoli,13.4112,812.91,0.83
7.69,1.48,17.61,Public,Bedrock,*,418.25,0.2
7.5,8.45,4,Public,Bedrock,60.96,242.05,0.2
7.22,4.04,0,Public,Unconsoli,15.24,2770.26,0.2
7.84,0.41,0,Public,Bedrock,106.68,1899.85,0.2
7.75,0.5,14.92,Public,Bedrock,45.72,1358.67,0.2
6.33,3.88,2.1,Public,Unconsoli,4.572,2181.43,0.2
